rider_id,gps_accuracy_meters,accelerometer_variance,gyroscope_variance,wifi_ssid_count,is_spoof
1226,171.6,0.04,0.018,1,1
1227,8.3,2.269,0.747,8,0
1228,151.8,0.077,0.035,1,1
1229,18.1,0.616,0.697,6,0
1230,5.4,2.302,2.148,12,0
1231,13.2,1.85,1.83,13,0
1232,18.5,2.563,1.21,9,0
1233,10.3,1.768,1.154,6,0
1234,3.9,1.851,0.713,9,0
1235,10.2,0.629,2.299,8,0
1236,8.8,2.171,0.649,10,0
1237,12.4,1.183,1.391,9,0
1238,9.9,0.549,0.897,11,0
1239,2.3,0.666,2.492,6,0
1240,299.3,0.022,0.06,2,1
1241,156.8,0.058,0.034,2,1
1242,220.7,0.017,0.032,2,1
1243,19.2,2.899,2.482,11,0
1244,4.8,2.858,1.671,13,0
1245,121.1,0.029,0.044,1,1
1246,16.5,2.737,1.016,5,0
1247,203.7,0.061,0.011,1,1
1248,101.7,0.066,0.044,1,1
1249,200.9,0.043,0.079,1,1
1250,2.6,1.72,1.983,5,0
1251,11.3,0.747,2.244,8,0
1252,267.0,0.065,0.066,1,1
1253,15.6,1.907,0.663,3,0
1254,13.5,2.658,2.024,4,0
1255,18.6,2.023,1.621,10,0
1256,54.8,0.075,0.015,2,1
1257,5.3,1.602,1.603,14,0
1258,16.4,1.657,0.417,12,0
1259,13.6,2.886,0.542,4,0
1260,14.0,0.846,1.504,14,0
1261,176.1,0.076,0.056,1,1
1262,12.3,2.14,1.546,9,0
1263,10.4,1.583,1.144,13,0
1264,295.6,0.034,0.042,1,1
1265,7.4,1.218,2.394,8,0
1266,5.3,1.084,2.458,3,0
1267,13.1,1.36,2.288,14,0
1268,6.2,2.679,2.47,5,0
1269,3.4,1.763,1.883,11,0
1270,89.8,0.032,0.068,1,1
1271,95.9,0.061,0.017,1,1
1272,167.7,0.056,0.026,1,1
1273,267.7,0.037,0.065,1,1
1274,8.8,1.52,1.833,6,0
1275,10.7,2.951,2.355,5,0
1276,9.3,1.369,1.534,12,0
1277,13.7,2.591,0.792,11,0
1278,8.4,1.141,1.506,9,0
1279,19.3,0.69,1.885,14,0
1280,190.7,0.026,0.069,2,1
1281,17.3,2.015,1.5,3,0
1282,18.6,1.279,0.856,7,0
1283,10.1,1.609,2.346,12,0
1284,11.7,2.547,2.025,5,0
1285,15.4,1.12,0.968,13,0
1286,14.5,1.272,2.105,4,0
1287,18.0,2.613,1.131,5,0
1288,14.9,1.732,1.056,7,0
1289,20.0,2.569,2.212,7,0
1290,8.3,1.436,2.234,12,0
1291,17.0,1.496,1.237,10,0
1292,177.2,0.053,0.047,2,1
1293,14.4,2.791,0.792,4,0
1294,7.9,2.742,2.31,10,0
1295,16.1,2.961,2.287,10,0
1296,18.2,1.506,1.352,12,0
1297,5.9,2.547,1.039,10,0
1298,13.3,1.537,1.036,14,0
1299,9.1,1.636,2.284,13,0
1300,19.8,2.575,1.082,3,0
1301,10.6,0.943,1.474,14,0
1302,6.1,1.051,1.935,11,0
1303,8.9,1.287,0.84,6,0
1304,13.8,2.47,0.933,6,0
1305,71.7,0.04,0.011,2,1
1306,12.9,1.395,1.774,14,0
1307,18.8,2.997,2.117,10,0
1308,17.3,1.46,1.548,8,0
1309,3.2,1.119,0.679,6,0
1310,19.9,2.058,1.337,5,0
1311,14.6,2.505,0.668,7,0
1312,4.9,0.674,0.585,10,0
1313,290.5,0.019,0.073,1,1
1314,136.8,0.055,0.037,2,1
1315,17.1,1.816,2.159,10,0
1316,2.4,1.142,2.026,14,0
1317,6.2,1.267,1.927,13,0
1318,15.6,1.668,2.284,3,0
1319,12.5,2.818,1.981,13,0
1320,16.1,2.277,1.716,6,0
1321,15.4,2.842,1.166,11,0
1322,2.9,2.15,0.612,8,0
1323,18.1,0.518,1.368,14,0
1324,113.0,0.059,0.013,1,1
1325,12.0,2.764,1.625,10,0
1326,13.6,2.109,0.787,10,0
1327,5.0,2.954,1.763,7,0
1328,19.6,0.89,1.377,13,0
1329,10.8,1.242,2.356,10,0
1330,3.0,1.406,0.738,6,0
1331,18.9,1.316,1.895,8,0
1332,12.6,1.13,1.831,9,0
1333,14.6,1.609,2.465,8,0
1334,11.5,2.106,1.586,8,0
1335,17.0,1.278,2.23,10,0
1336,152.9,0.035,0.067,2,1
1337,6.8,2.271,0.658,10,0
1338,10.5,1.648,1.126,11,0
1339,3.4,1.891,1.701,14,0
1340,14.7,1.639,1.343,6,0
1341,9.1,2.726,0.826,5,0
1342,6.9,1.897,1.637,7,0
1343,2.1,2.808,1.59,12,0
1344,15.0,1.776,1.501,12,0
1345,17.0,1.231,0.59,14,0
1346,9.1,1.389,2.347,7,0
1347,12.2,1.805,1.644,9,0
1348,6.1,1.825,0.954,5,0
1349,13.2,2.218,1.844,13,0
1350,2.2,1.061,1.068,12,0
1351,153.5,0.068,0.039,1,1
1352,13.6,2.446,1.116,8,0
1353,18.5,2.191,2.249,12,0
1354,8.9,1.705,2.487,11,0
1355,15.8,2.979,0.738,3,0
1356,12.8,1.512,0.45,4,0
1357,18.7,0.766,0.861,12,0
1358,164.6,0.015,0.023,1,1
1359,7.7,1.031,0.765,13,0
1360,18.0,2.283,2.104,10,0
1361,2.9,0.947,1.258,6,0
1362,4.5,0.542,1.682,9,0
1363,3.5,0.899,1.357,6,0
1364,222.1,0.045,0.066,1,1
1365,2.2,0.767,0.474,10,0
1366,267.0,0.077,0.042,1,1
1367,64.3,0.023,0.053,2,1
1368,2.1,2.425,1.764,6,0
1369,9.2,2.544,1.269,5,0
1370,5.4,2.603,0.433,13,0
1371,13.2,1.551,1.847,12,0
1372,14.2,2.669,2.142,11,0
1373,10.8,1.815,0.579,5,0
1374,2.7,1.676,1.327,7,0
1375,13.8,2.296,0.741,13,0
1376,172.7,0.022,0.068,1,1
1377,15.0,2.474,2.05,11,0
1378,153.5,0.037,0.047,2,1
1379,5.6,0.818,1.068,7,0
1380,18.0,0.798,0.693,6,0
1381,7.8,0.912,2.068,10,0
1382,2.2,2.726,1.08,13,0
1383,52.7,0.029,0.018,2,1
1384,19.0,1.392,1.6,12,0
1385,254.1,0.026,0.077,2,1
1386,6.2,1.047,2.167,10,0
1387,6.5,2.56,0.701,3,0
1388,10.4,1.023,1.313,14,0
1389,76.1,0.076,0.03,1,1
1390,78.7,0.034,0.08,1,1
1391,16.9,2.743,1.552,13,0
1392,7.2,1.885,2.061,13,0
1393,16.6,2.227,1.363,12,0
1394,18.6,2.049,0.41,14,0
1395,62.1,0.014,0.01,2,1
1396,100.1,0.073,0.044,1,1
1397,16.4,1.974,1.251,11,0
1398,11.5,2.081,1.702,14,0
1399,14.3,2.805,2.3,3,0
1400,13.2,2.825,0.443,13,0
1401,94.2,0.041,0.059,2,1
1402,17.2,0.519,1.006,12,0
1403,137.0,0.062,0.073,2,1
1404,18.8,2.645,0.872,8,0
1405,214.8,0.036,0.065,2,1
1406,15.2,1.034,1.183,6,0
1407,7.1,1.076,0.541,13,0
1408,63.6,0.075,0.028,2,1
1409,7.6,1.942,0.712,13,0
1410,15.5,1.224,2.288,12,0
1411,265.1,0.03,0.027,1,1
1412,131.6,0.056,0.035,1,1
1413,7.5,2.839,2.117,12,0
1414,14.5,0.632,2.16,13,0
1415,15.6,0.833,1.002,11,0
1416,4.7,2.105,0.97,11,0
1417,9.2,2.511,1.576,14,0
1418,10.7,2.478,1.278,4,0
1419,8.4,2.299,1.469,11,0
1420,7.8,2.719,0.512,4,0
1421,14.4,1.043,2.44,8,0
1422,5.9,0.768,0.522,9,0
1423,14.8,2.038,0.776,11,0
1424,18.8,2.556,1.824,13,0
1425,12.2,1.955,0.727,8,0
1426,13.0,2.907,0.624,10,0
1427,201.7,0.068,0.018,2,1
1428,17.6,2.252,0.53,14,0
1429,7.1,0.651,0.928,5,0
1430,13.1,0.769,0.969,12,0
1431,19.6,2.462,1.447,8,0
1432,12.7,0.996,1.321,4,0
1433,15.0,0.572,1.395,3,0
1434,10.0,2.777,1.694,14,0
1435,3.1,2.727,0.885,8,0
1436,16.4,1.046,0.683,14,0
1437,53.0,0.027,0.057,2,1
1438,14.6,0.62,1.731,13,0
1439,2.4,1.213,0.527,14,0
1440,17.5,2.059,2.418,7,0
1441,141.5,0.066,0.076,2,1
1442,11.3,0.526,0.719,12,0
1443,12.7,1.316,2.435,8,0
1444,50.5,0.065,0.055,1,1
1445,91.4,0.077,0.047,2,1
1446,162.0,0.075,0.045,1,1
1447,7.6,1.514,0.736,9,0
1448,9.9,0.689,1.781,13,0
1449,8.5,1.997,0.447,8,0
1450,12.2,2.104,0.439,14,0
1451,6.3,2.541,2.063,3,0
1452,19.8,1.221,0.752,10,0
1453,183.8,0.037,0.051,1,1
1454,5.5,1.599,1.294,6,0
1455,10.6,1.24,2.235,3,0
1456,17.6,1.371,1.277,12,0
1457,2.4,1.799,1.513,4,0
1458,14.2,2.842,1.065,5,0
1459,11.9,2.338,1.782,8,0
1460,5.1,1.943,1.068,4,0
1461,16.7,0.907,0.869,4,0
1462,8.6,0.873,0.57,8,0
1463,7.3,1.755,0.521,14,0
1464,88.2,0.051,0.06,2,1
1465,13.5,2.378,1.947,7,0
1466,18.2,1.065,0.832,13,0
1467,236.3,0.075,0.066,1,1
1468,15.3,1.461,2.301,5,0
1469,97.3,0.01,0.059,1,1
1470,3.0,1.863,2.331,3,0
1471,79.0,0.054,0.059,1,1
1472,13.0,1.309,0.533,6,0
1473,133.4,0.025,0.077,2,1
1474,11.2,1.683,0.507,6,0
1475,187.9,0.062,0.073,1,1
1476,15.2,2.921,1.548,11,0
1477,11.8,1.754,1.52,10,0
1478,297.2,0.066,0.068,2,1
1479,5.3,2.207,2.246,14,0
1480,12.9,2.392,1.696,4,0
1481,5.8,0.679,1.293,11,0
1482,13.1,2.625,0.635,4,0
1483,15.0,2.573,2.057,8,0
1484,15.0,1.681,0.669,4,0
1485,154.7,0.06,0.013,2,1
1486,17.4,2.284,1.509,8,0
1487,3.4,2.192,1.21,13,0
1488,156.5,0.08,0.057,2,1
1489,64.8,0.044,0.042,1,1
1490,11.0,0.906,2.376,7,0
1491,5.4,2.389,0.956,14,0
1492,11.9,1.6,2.389,5,0
1493,9.3,1.864,2.418,14,0
1494,9.0,2.432,2.109,4,0
1495,16.6,1.352,2.251,6,0
1496,9.3,2.372,1.854,14,0
1497,2.5,1.606,0.482,3,0
1498,241.5,0.049,0.053,1,1
1499,95.4,0.039,0.058,2,1
1500,19.3,2.912,2.378,4,0
1501,14.4,2.43,1.598,10,0
1502,8.6,0.55,2.068,7,0
1503,236.2,0.078,0.06,2,1
1504,13.9,2.439,0.99,5,0
1505,17.2,0.873,0.725,13,0
1506,277.7,0.075,0.071,2,1
1507,242.1,0.079,0.074,1,1
1508,210.6,0.079,0.052,1,1
1509,5.4,2.041,1.752,3,0
1510,7.3,1.19,2.057,6,0
1511,16.0,1.614,1.623,6,0
1512,201.0,0.073,0.073,2,1
1513,163.4,0.075,0.064,1,1
1514,10.4,1.792,0.93,6,0
1515,3.6,1.367,1.738,8,0
1516,3.0,1.857,2.142,8,0
1517,86.1,0.018,0.024,2,1
1518,244.7,0.022,0.012,2,1
1519,13.0,0.505,1.822,8,0
1520,2.1,0.692,2.109,6,0
1521,19.8,1.657,0.981,13,0
1522,169.3,0.072,0.011,1,1
1523,206.4,0.061,0.051,2,1
1524,143.5,0.071,0.047,2,1
1525,4.3,1.385,1.274,14,0
1526,16.4,1.275,0.437,8,0
1527,14.8,1.441,0.872,7,0
1528,11.5,2.029,1.217,12,0
1529,100.2,0.064,0.059,2,1
1530,251.6,0.02,0.069,2,1
1531,135.6,0.074,0.022,1,1
1532,266.7,0.064,0.07,1,1
1533,3.7,1.753,1.847,11,0
1534,6.7,2.907,2.11,12,0
1535,291.4,0.05,0.017,2,1
1536,257.5,0.047,0.072,2,1
1537,13.8,1.621,1.747,12,0
1538,11.6,2.096,1.063,7,0
1539,12.7,1.031,1.4,8,0
1540,82.0,0.05,0.07,1,1
1541,7.4,2.106,0.69,6,0
1542,2.9,2.694,1.701,13,0
1543,15.4,1.323,2.379,6,0
1544,15.4,2.572,0.521,14,0
1545,14.1,1.446,0.526,11,0
1546,13.6,1.132,1.565,14,0
1547,6.4,2.779,2.416,9,0
1548,2.4,0.731,0.863,8,0
1549,16.6,2.857,1.095,12,0
1550,10.8,1.646,0.607,8,0
1551,263.8,0.037,0.059,1,1
1552,3.8,1.849,0.493,14,0
1553,3.1,2.394,1.217,13,0
1554,179.8,0.066,0.031,2,1
1555,16.5,1.742,2.448,5,0
1556,18.5,2.344,2.119,9,0
1557,18.1,2.457,2.126,7,0
1558,18.6,0.895,0.879,4,0
1559,18.3,1.547,0.583,5,0
1560,11.5,1.548,1.666,7,0
1561,5.9,0.759,1.494,11,0
1562,16.4,1.608,1.485,14,0
1563,5.8,2.518,0.629,8,0
1564,6.8,1.25,1.437,13,0
1565,6.2,1.581,0.716,4,0
1566,11.3,2.902,1.286,10,0
1567,7.8,0.579,0.531,14,0
1568,110.4,0.074,0.017,2,1
1569,10.2,2.359,0.428,8,0
1570,17.7,2.402,2.373,10,0
1571,12.3,2.29,2.212,9,0
1572,17.8,2.316,1.98,7,0
1573,5.5,0.648,2.463,13,0
1574,73.3,0.028,0.064,2,1
1575,119.6,0.013,0.025,2,1
1576,10.3,0.735,2.184,6,0
1577,84.4,0.024,0.041,2,1
1578,16.3,2.536,1.628,14,0
1579,15.5,2.281,1.227,13,0
1580,19.0,1.531,1.315,11,0
1581,56.4,0.063,0.047,1,1
1582,5.7,2.416,1.531,5,0
1583,11.9,2.92,0.596,5,0
1584,4.0,2.823,2.368,8,0
1585,7.2,1.703,0.789,5,0
1586,5.7,2.387,2.275,5,0
1587,9.1,2.173,2.439,7,0
1588,4.0,2.529,2.243,5,0
1589,2.6,2.469,1.822,7,0
1590,13.8,0.883,1.961,5,0
1591,13.0,1.084,1.87,4,0
1592,14.8,1.164,1.367,10,0
1593,13.9,2.546,0.976,5,0
1594,296.9,0.071,0.058,1,1
1595,7.2,1.738,1.935,13,0
1596,4.3,1.952,1.715,4,0
1597,17.2,2.567,1.628,3,0
1598,15.4,1.281,1.77,10,0
1599,5.6,0.625,2.027,14,0
1600,8.1,1.706,1.972,5,0
1601,19.4,2.784,0.621,4,0
1602,12.7,2.476,1.162,4,0
1603,16.4,1.417,0.954,7,0
1604,6.8,0.662,1.53,8,0
1605,5.8,2.092,0.529,13,0
1606,16.1,2.586,2.001,4,0
1607,14.3,2.162,0.624,8,0
1608,14.3,1.563,0.97,3,0
1609,11.9,0.808,2.044,11,0
1610,12.1,2.777,0.508,6,0
1611,15.2,1.19,1.786,7,0
1612,6.9,1.061,2.341,5,0
1613,8.3,2.54,1.697,8,0
1614,257.9,0.034,0.044,2,1
1615,234.7,0.021,0.059,2,1
1616,11.8,2.062,0.867,10,0
1617,14.6,1.299,1.62,5,0
1618,98.3,0.07,0.067,2,1
1619,9.8,0.979,0.924,14,0
1620,9.7,1.961,0.804,6,0
1621,17.2,0.878,1.629,10,0
1622,16.5,2.71,2.069,13,0
1623,15.2,0.97,2.239,10,0
1624,10.3,1.805,1.3,14,0
1625,7.8,1.78,1.183,13,0
1626,13.0,2.01,1.843,10,0
1627,17.8,1.319,2.039,4,0
1628,17.9,2.684,0.932,6,0
1629,4.0,1.611,1.024,12,0
1630,9.7,2.25,1.52,3,0
1631,56.9,0.025,0.06,2,1
1632,19.6,0.793,1.882,9,0
1633,14.2,2.057,1.459,12,0
1634,9.3,1.877,0.634,8,0
1635,2.5,2.747,0.749,13,0
1636,12.2,2.702,2.294,9,0
1637,3.7,0.877,0.878,12,0
1638,17.0,0.704,0.505,14,0
1639,15.5,1.236,1.936,7,0
1640,10.3,2.967,1.836,8,0
1641,9.7,0.554,1.66,14,0
1642,18.2,2.182,1.455,8,0
1643,7.2,2.021,2.436,8,0
1644,6.5,2.116,0.652,11,0
1645,171.3,0.027,0.031,1,1
1646,16.6,1.067,1.584,4,0
1647,16.8,1.577,0.447,11,0
1648,5.5,0.74,1.265,12,0
1649,4.6,0.687,2.044,9,0
1650,2.5,0.721,1.389,7,0
1651,6.3,1.932,2.238,8,0
1652,15.9,1.494,1.754,13,0
1653,6.3,1.234,2.009,9,0
1654,15.1,1.29,2.089,7,0
1655,6.5,1.018,1.848,7,0
1656,9.1,1.529,1.974,8,0
1657,19.7,1.008,1.86,10,0
1658,6.4,2.245,1.556,4,0
1659,8.8,0.81,1.59,13,0
1660,7.4,2.871,0.799,12,0
1661,235.4,0.016,0.073,1,1
1662,10.8,2.859,1.055,12,0
1663,8.8,2.583,1.525,7,0
1664,14.5,2.202,0.924,6,0
1665,16.7,2.781,1.861,10,0
1666,11.8,0.848,2.448,6,0
1667,2.6,0.941,2.084,4,0
1668,13.1,1.13,1.7,7,0
1669,3.0,1.112,1.592,7,0
1670,13.1,1.277,1.429,6,0
1671,290.7,0.074,0.049,1,1
1672,5.6,0.57,1.131,13,0
1673,16.7,1.456,1.253,7,0
1674,18.4,1.116,2.384,11,0
1675,261.0,0.033,0.043,2,1
1676,7.5,2.963,1.631,11,0
1677,12.6,1.794,2.337,8,0
1678,273.4,0.022,0.05,1,1
1679,109.7,0.077,0.044,2,1
1680,88.8,0.033,0.063,2,1
1681,2.2,0.68,1.189,9,0
1682,2.1,2.899,1.901,14,0
1683,15.7,1.545,1.022,7,0
1684,111.9,0.062,0.039,2,1
1685,16.2,2.935,2.267,6,0
1686,18.7,2.84,1.106,6,0
1687,4.1,2.105,0.684,8,0
1688,6.2,0.546,1.741,10,0
1689,18.3,2.371,1.158,5,0
1690,5.2,1.339,1.521,14,0
1691,14.3,1.471,1.732,14,0
1692,11.5,0.897,1.256,9,0
1693,3.5,1.809,2.342,4,0
1694,7.1,2.361,1.239,11,0
1695,11.4,1.183,1.045,14,0
1696,17.3,2.847,2.26,9,0
1697,14.7,0.987,0.686,3,0
1698,13.2,0.666,0.661,6,0
1699,10.9,2.111,2.365,4,0
1700,7.4,2.623,0.839,12,0
1701,4.1,2.883,0.712,7,0
1702,9.4,2.418,1.524,11,0
1703,2.5,0.999,0.498,5,0
1704,5.8,2.944,1.702,7,0
1705,84.6,0.026,0.064,1,1
1706,9.5,0.908,1.745,12,0
1707,249.6,0.061,0.063,1,1
1708,12.6,1.889,2.301,6,0
1709,11.9,1.606,0.968,4,0
1710,3.4,2.961,1.739,10,0
1711,19.0,0.649,2.385,9,0
1712,3.8,2.068,1.242,9,0
1713,17.4,1.013,0.739,9,0
1714,2.0,1.818,0.544,11,0
1715,275.8,0.026,0.029,1,1
1716,126.8,0.055,0.017,1,1
1717,269.2,0.041,0.07,2,1
1718,8.5,2.877,1.868,6,0
1719,15.3,2.404,1.119,14,0
1720,63.8,0.066,0.022,2,1
1721,3.3,1.055,2.352,13,0
1722,15.8,1.563,1.428,8,0
1723,3.3,2.435,1.233,11,0
1724,18.6,2.551,1.613,13,0
1725,219.3,0.061,0.012,1,1
1726,10.6,2.155,1.049,4,0
1727,15.0,0.738,1.74,8,0
1728,9.1,0.558,0.61,14,0
1729,5.9,1.872,0.684,14,0
1730,15.7,1.061,1.472,9,0
