disruption_event_id,total_enrolled_riders,claims_filed,claim_rate,is_api_verified,hour_of_day,is_anomaly
209,62,26,0.419,False,15,0
210,345,165,0.478,True,20,0
211,138,54,0.391,True,12,0
212,373,183,0.491,False,5,0
213,91,27,0.297,False,21,0
214,452,137,0.303,True,0,0
215,259,93,0.359,False,20,0
216,278,87,0.313,True,3,0
217,399,79,0.198,False,2,0
218,324,135,0.417,True,16,0
219,491,208,0.424,True,1,0
220,328,139,0.424,True,18,0
221,300,91,0.303,False,19,0
222,359,128,0.357,False,22,0
223,257,79,0.307,False,21,0
224,370,75,0.203,True,7,0
225,189,69,0.365,True,14,0
226,329,78,0.237,True,5,0
227,83,69,0.831,False,22,1
228,358,152,0.425,False,19,0
229,441,89,0.202,False,1,0
230,67,32,0.478,True,14,0
231,106,37,0.349,False,19,0
232,161,79,0.491,True,11,0
233,54,11,0.204,False,2,0
234,459,172,0.375,True,9,0
235,463,141,0.305,False,13,0
236,231,104,0.45,True,21,0
237,62,19,0.306,False,13,0
238,388,107,0.276,False,2,0
239,334,152,0.455,False,0,0
240,308,96,0.312,False,19,0
241,139,28,0.201,False,0,0
242,153,134,0.876,False,1,1
243,428,169,0.395,False,18,0
244,235,64,0.272,True,23,0
245,299,98,0.328,False,9,0
246,304,65,0.214,False,3,0
247,125,47,0.376,True,3,0
248,435,387,0.89,False,12,1
249,157,123,0.783,False,8,1
250,205,66,0.322,True,6,0
251,131,29,0.221,True,15,0
252,126,32,0.254,True,17,0
253,307,75,0.244,False,2,0
254,176,60,0.341,False,19,0
255,440,157,0.357,False,19,0
256,331,160,0.483,False,9,0
257,137,30,0.219,True,23,0
258,253,96,0.379,False,21,0
259,65,23,0.354,False,15,0
260,200,70,0.35,False,2,0
261,473,218,0.461,False,10,0
262,303,286,0.944,False,9,1
263,237,50,0.211,False,15,0
264,378,151,0.399,False,7,0
265,81,24,0.296,True,8,0
266,320,65,0.203,True,14,0
267,446,122,0.274,False,20,0
268,54,15,0.278,False,2,0
269,379,145,0.383,False,3,0
270,357,89,0.249,False,12,0
271,382,123,0.322,True,11,0
272,218,75,0.344,True,20,0
273,230,77,0.335,False,8,0
274,415,204,0.492,False,13,0
275,227,48,0.211,True,18,0
276,192,93,0.484,False,6,0
277,411,153,0.372,False,15,0
278,297,130,0.438,False,21,0
279,176,57,0.324,False,19,0
280,312,104,0.333,True,4,0
281,89,41,0.461,False,9,0
282,461,216,0.469,False,17,0
283,465,126,0.271,False,10,0
284,404,104,0.257,True,6,0
285,304,106,0.349,False,13,0
286,192,90,0.469,True,19,0
287,289,85,0.294,True,17,0
288,277,109,0.394,False,10,0
289,390,160,0.41,True,21,0
290,247,107,0.433,False,11,0
291,114,42,0.368,True,17,0
292,437,140,0.32,False,1,0
293,60,29,0.483,True,22,0
294,157,60,0.382,True,0,0
295,75,31,0.413,True,22,0
296,494,149,0.302,False,9,0
297,470,188,0.4,False,20,0
298,200,55,0.275,True,0,0
299,270,73,0.27,False,5,0
300,390,161,0.413,False,6,0
301,286,101,0.353,False,16,0
302,286,115,0.402,True,8,0
303,268,75,0.28,False,6,0
304,473,179,0.378,True,16,0
305,200,66,0.33,True,2,0
306,172,150,0.872,False,15,1
307,193,55,0.285,False,4,0
308,238,98,0.412,True,19,0
309,304,134,0.441,True,17,0
310,117,32,0.274,False,0,0
311,153,44,0.288,False,3,0
312,385,153,0.397,True,22,0
313,208,85,0.409,False,10,0
314,358,280,0.782,False,19,1
315,411,166,0.404,True,8,0
316,458,145,0.317,False,7,0
317,349,111,0.318,True,7,0
318,445,123,0.276,True,4,0
319,139,34,0.245,False,11,0
320,406,165,0.406,False,0,0
321,305,69,0.226,True,14,0
322,402,193,0.48,False,17,0
323,269,120,0.446,False,5,0
324,58,26,0.448,True,9,0
325,61,46,0.754,False,13,1
326,374,120,0.321,True,20,0
327,487,221,0.454,False,7,0
328,293,72,0.246,False,2,0
329,231,47,0.203,False,21,0
330,333,145,0.435,True,21,0
331,361,80,0.222,False,18,0
332,148,73,0.493,False,11,0
333,246,98,0.398,True,11,0
334,415,176,0.424,True,14,0
335,275,75,0.273,True,6,0
336,382,153,0.401,False,3,0
337,152,32,0.211,False,20,0
338,155,69,0.445,True,8,0
339,414,103,0.249,False,21,0
340,417,170,0.408,False,15,0
341,107,28,0.262,False,12,0
342,127,28,0.22,True,3,0
343,124,42,0.339,False,23,0
344,91,22,0.242,True,8,0
345,471,197,0.418,True,20,0
346,373,101,0.271,False,17,0
347,230,69,0.3,True,14,0
348,82,30,0.366,True,14,0
349,120,34,0.283,True,5,0
350,105,32,0.305,True,10,0
351,154,68,0.442,True,7,0
352,249,63,0.253,False,20,0
353,150,33,0.22,True,16,0
354,305,91,0.298,True,23,0
355,356,116,0.326,True,16,0
356,123,44,0.358,False,23,0
357,220,68,0.309,False,17,0
358,426,186,0.437,True,3,0
359,192,40,0.208,False,14,0
360,215,70,0.326,True,1,0
361,448,140,0.312,True,1,0
362,310,122,0.394,True,9,0
363,270,132,0.489,True,2,0
364,132,46,0.348,True,7,0
365,231,114,0.494,False,19,0
366,356,103,0.289,True,6,0
367,59,53,0.898,False,11,1
368,445,111,0.249,True,18,0
369,53,16,0.302,True,14,0
370,400,117,0.292,False,13,0
371,451,103,0.228,False,15,0
372,385,126,0.327,True,13,0
373,341,102,0.299,False,2,0
374,330,78,0.236,True,17,0
375,264,76,0.288,True,21,0
376,147,68,0.463,True,5,0
377,469,136,0.29,True,16,0
378,150,62,0.413,True,22,0
379,58,22,0.379,True,13,0
380,110,36,0.327,False,13,0
381,358,97,0.271,True,19,0
382,195,60,0.308,False,12,0
383,476,179,0.376,True,2,0
384,468,142,0.303,False,12,0
385,112,29,0.259,False,23,0
386,170,39,0.229,True,1,0
387,275,127,0.462,True,8,0
388,154,51,0.331,False,12,0
389,309,119,0.385,False,7,0
390,398,138,0.347,True,15,0
391,474,363,0.766,False,23,1
392,304,110,0.362,False,2,0
393,478,164,0.343,True,12,0
394,483,230,0.476,False,3,0
395,256,106,0.414,True,17,0
396,77,17,0.221,True,1,0
397,219,55,0.251,False,19,0
398,385,167,0.434,False,21,0
399,125,56,0.448,True,20,0
400,165,59,0.358,False,14,0
401,118,43,0.364,False,16,0
402,403,157,0.39,False,9,0
403,283,93,0.329,True,0,0
404,50,20,0.4,False,5,0
405,216,50,0.231,False,2,0
406,401,195,0.486,False,18,0
407,267,113,0.423,False,6,0
408,322,125,0.388,True,12,0
409,417,122,0.293,False,12,0
410,300,74,0.247,False,16,0
411,396,127,0.321,True,0,0
412,393,305,0.776,False,13,1
413,468,404,0.863,False,2,1
414,223,70,0.314,False,13,0
415,219,84,0.384,True,23,0
416,295,131,0.444,False,0,0
417,472,98,0.208,False,15,0
418,139,46,0.331,False,9,0
419,98,41,0.418,False,12,0
420,495,180,0.364,False,3,0
421,343,135,0.394,True,8,0
422,456,161,0.353,False,13,0
423,199,99,0.497,False,3,0
424,181,39,0.215,False,9,0
425,482,167,0.346,True,7,0
426,108,24,0.222,False,22,0
427,373,92,0.247,False,2,0
428,248,78,0.315,False,22,0
429,264,65,0.246,True,6,0
430,435,212,0.487,True,9,0
431,98,47,0.48,False,2,0
432,281,84,0.299,True,1,0
433,296,116,0.392,False,14,0
434,431,155,0.36,True,8,0
435,288,128,0.444,False,14,0
436,464,180,0.388,True,16,0
437,416,83,0.2,False,6,0
438,217,93,0.429,False,19,0
439,97,41,0.423,True,17,0
440,100,35,0.35,True,14,0
441,348,163,0.468,True,17,0
442,147,127,0.864,False,23,1
443,488,174,0.357,False,22,0
444,265,101,0.381,False,11,0
445,226,112,0.496,False,22,0
446,429,124,0.289,False,20,0
447,129,114,0.884,False,7,1
448,234,59,0.252,True,1,0
449,416,195,0.469,True,1,0
450,448,189,0.422,False,4,0
451,76,17,0.224,False,0,0
452,497,245,0.493,True,21,0
453,463,194,0.419,False,3,0
454,469,213,0.454,False,5,0
455,244,52,0.213,False,22,0
456,263,92,0.35,True,12,0
457,418,171,0.409,True,18,0
458,391,141,0.361,False,10,0
459,163,65,0.399,False,12,0
460,291,129,0.443,False,7,0
461,173,54,0.312,True,6,0
462,354,160,0.452,True,12,0
463,125,31,0.248,False,0,0
464,360,101,0.281,False,5,0
465,361,299,0.828,False,6,1
466,245,75,0.306,False,15,0
467,400,125,0.312,True,14,0
468,93,41,0.441,False,19,0
469,464,183,0.394,False,1,0
470,235,212,0.902,False,22,1
471,392,155,0.395,False,15,0
472,295,278,0.942,False,16,1
473,486,123,0.253,True,23,0
474,133,51,0.383,True,14,0
475,256,100,0.391,True,2,0
476,200,160,0.8,False,3,1
477,205,65,0.317,False,11,0
478,65,27,0.415,False,4,0
479,214,190,0.888,False,16,1
480,454,222,0.489,True,5,0
481,194,51,0.263,True,9,0
482,86,31,0.36,False,21,0
483,382,145,0.38,True,17,0
484,452,225,0.498,True,9,0
485,463,120,0.259,False,5,0
486,94,33,0.351,False,23,0
487,451,137,0.304,False,5,0
488,255,91,0.357,False,19,0
489,111,103,0.928,False,14,1
490,469,100,0.213,False,3,0
491,405,150,0.37,True,15,0
492,357,107,0.3,False,21,0
493,68,17,0.25,True,23,0
494,414,123,0.297,False,7,0
495,349,74,0.212,True,6,0
496,56,27,0.482,False,18,0
497,298,111,0.372,False,16,0
498,477,211,0.442,False,20,0
499,166,147,0.886,False,12,1
500,117,103,0.88,False,14,1
501,83,28,0.337,False,1,0
502,243,90,0.37,False,9,0
503,374,129,0.345,False,12,0
504,104,43,0.413,False,17,0
505,315,116,0.368,False,22,0
506,91,25,0.275,False,10,0
507,346,84,0.243,False,12,0
508,280,106,0.379,False,18,0
509,427,148,0.347,False,23,0
510,443,101,0.228,False,23,0
511,59,18,0.305,True,21,0
512,407,144,0.354,False,4,0
513,493,220,0.446,False,2,0
514,177,39,0.22,False,18,0
515,228,69,0.303,False,22,0
516,454,202,0.445,True,12,0
517,441,173,0.392,False,4,0
518,242,69,0.285,False,11,0
519,141,112,0.794,False,13,1
520,418,145,0.347,True,5,0
521,280,97,0.346,False,21,0
522,127,62,0.488,False,8,0
523,134,114,0.851,False,16,1
524,79,24,0.304,True,7,0
525,262,63,0.24,True,12,0
526,98,29,0.296,False,4,0
527,314,65,0.207,True,21,0
528,194,40,0.206,True,21,0
529,118,37,0.314,False,16,0
530,107,51,0.477,True,2,0
531,234,107,0.457,True,5,0
532,111,95,0.856,False,13,1
533,357,317,0.888,False,14,1
534,494,99,0.2,False,13,0
535,345,91,0.264,False,10,0
536,215,44,0.205,False,10,0
537,220,93,0.423,False,8,0
538,112,27,0.241,True,5,0
539,196,90,0.459,True,14,0
540,355,139,0.392,False,11,0
541,210,199,0.948,False,5,1
542,190,46,0.242,False,0,0
543,383,148,0.386,False,15,0
544,146,68,0.466,True,19,0
545,495,205,0.414,True,14,0
546,270,82,0.304,True,1,0
547,92,34,0.37,False,16,0
548,482,141,0.293,False,2,0
549,341,170,0.499,False,2,0
550,427,181,0.424,True,4,0
551,157,60,0.382,False,16,0
552,315,102,0.324,False,22,0
553,144,55,0.382,True,16,0
554,311,94,0.302,False,19,0
555,362,75,0.207,False,5,0
556,434,138,0.318,True,0,0
557,120,57,0.475,False,6,0
558,491,190,0.387,True,14,0
559,268,60,0.224,False,6,0
560,70,32,0.457,True,18,0
561,141,39,0.277,False,19,0
562,176,48,0.273,False,21,0
563,129,37,0.287,False,10,0
564,361,134,0.371,False,22,0
565,287,104,0.362,False,13,0
566,421,146,0.347,False,12,0
567,453,188,0.415,False,19,0
568,231,68,0.294,False,8,0
569,74,32,0.432,False,8,0
570,205,51,0.249,False,15,0
571,54,23,0.426,False,11,0
572,169,67,0.396,False,9,0
573,326,132,0.405,False,5,0
574,67,23,0.343,True,17,0
575,480,192,0.4,True,1,0
576,247,55,0.223,True,19,0
577,106,48,0.453,False,8,0
578,142,30,0.211,True,18,0
579,68,16,0.235,False,5,0
580,433,161,0.372,False,1,0
581,402,169,0.42,True,14,0
582,242,183,0.756,False,16,1
583,286,136,0.476,True,15,0
584,436,214,0.491,True,20,0
585,475,181,0.381,False,7,0
586,326,112,0.344,False,9,0
587,276,116,0.42,False,9,0
588,282,84,0.298,True,17,0
589,89,30,0.337,False,9,0
590,372,176,0.473,True,8,0
591,202,98,0.485,True,23,0
592,176,84,0.477,True,18,0
593,286,79,0.276,True,0,0
594,104,28,0.269,True,3,0
595,485,140,0.289,True,23,0
596,221,73,0.33,False,2,0
597,158,46,0.291,True,9,0
598,403,125,0.31,True,11,0
599,233,89,0.382,True,17,0
600,488,209,0.428,False,22,0
601,417,175,0.42,True,19,0
602,247,109,0.441,False,5,0
603,420,88,0.21,False,20,0
604,422,90,0.213,True,1,0
605,136,59,0.434,False,9,0
606,250,89,0.356,True,1,0
607,386,144,0.373,False,8,0
608,371,80,0.216,False,9,0
609,324,89,0.275,True,1,0
610,260,101,0.388,True,7,0
611,440,201,0.457,False,23,0
612,167,79,0.473,False,16,0
613,240,84,0.35,True,16,0
614,91,33,0.363,False,3,0
615,91,40,0.44,False,17,0
616,364,131,0.36,False,11,0
617,325,115,0.354,True,16,0
618,378,178,0.471,False,8,0
619,66,28,0.424,False,18,0
620,332,156,0.47,True,13,0
621,480,127,0.265,False,13,0
622,307,109,0.355,False,16,0
623,112,50,0.446,False,1,0
624,111,25,0.225,True,7,0
625,149,65,0.436,False,4,0
626,68,17,0.25,True,6,0
627,66,29,0.439,False,21,0
628,374,143,0.382,True,15,0
629,472,121,0.256,False,15,0
630,422,144,0.341,False,16,0
631,295,119,0.403,True,21,0
632,300,117,0.39,False,6,0
633,130,42,0.323,False,19,0
634,88,41,0.466,True,7,0
635,85,30,0.353,False,7,0
636,473,166,0.351,False,22,0
637,478,104,0.218,True,10,0
638,437,208,0.476,True,14,0
639,458,115,0.251,True,17,0
640,246,88,0.358,True,5,0
641,207,91,0.44,False,21,0
642,253,66,0.261,True,11,0
643,245,87,0.355,False,14,0
644,265,72,0.272,False,22,0
645,334,142,0.425,True,5,0
646,245,90,0.367,False,17,0
647,356,162,0.455,False,23,0
648,201,94,0.468,False,19,0
649,63,24,0.381,True,8,0
650,374,156,0.417,True,7,0
651,195,71,0.364,False,13,0
652,475,149,0.314,False,18,0
653,106,41,0.387,False,18,0
654,260,122,0.469,False,7,0
655,317,103,0.325,True,1,0
656,259,76,0.293,False,3,0
657,66,20,0.303,True,5,0
658,335,110,0.328,True,2,0
659,393,87,0.221,False,2,0
660,252,88,0.349,True,18,0
661,148,51,0.345,False,10,0
662,328,250,0.762,False,9,1
663,258,79,0.306,True,11,0
664,178,68,0.382,False,13,0
665,384,177,0.461,False,17,0
666,337,163,0.484,False,23,0
667,301,112,0.372,True,8,0
668,314,66,0.21,True,14,0
669,320,157,0.491,False,23,0
670,461,189,0.41,True,2,0
671,457,137,0.3,True,22,0
672,237,57,0.241,False,10,0
673,468,113,0.241,True,9,0
674,263,65,0.247,False,17,0
675,332,70,0.211,True,3,0
676,260,199,0.765,False,12,1
677,414,149,0.36,False,5,0
678,125,51,0.408,True,20,0
679,197,177,0.898,False,12,1
680,370,161,0.435,False,19,0
681,262,121,0.462,False,4,0
682,482,236,0.49,False,19,0
683,158,52,0.329,True,13,0
684,178,86,0.483,True,12,0
685,59,24,0.407,False,13,0
686,96,21,0.219,False,7,0
687,428,173,0.404,False,15,0
688,364,147,0.404,False,12,0
689,145,68,0.469,False,23,0
690,495,154,0.311,False,14,0
691,152,57,0.375,True,18,0
692,429,87,0.203,False,0,0
693,391,117,0.299,False,21,0
694,195,42,0.215,True,1,0
695,417,148,0.355,False,17,0
696,479,213,0.445,False,18,0
697,465,121,0.26,False,7,0
698,76,27,0.355,False,2,0
699,269,70,0.26,False,22,0
700,67,15,0.224,True,13,0
701,216,76,0.352,False,8,0
702,482,107,0.222,False,7,0
703,131,49,0.374,False,16,0
704,477,99,0.208,True,22,0
705,121,28,0.231,True,22,0
706,359,279,0.777,False,23,1
707,303,114,0.376,False,15,0
708,211,44,0.209,False,9,0
709,376,139,0.37,False,20,0
710,469,211,0.45,False,9,0
711,451,187,0.415,False,23,0
712,87,20,0.23,False,5,0
713,492,185,0.376,True,21,0
714,442,177,0.4,False,16,0
715,250,52,0.208,False,15,0
716,249,113,0.454,True,14,0
717,304,143,0.47,True,21,0
718,228,199,0.873,False,13,1
719,84,37,0.44,False,3,0
720,131,55,0.42,True,3,0
721,438,170,0.388,False,1,0
722,447,180,0.403,False,10,0
723,269,118,0.439,False,3,0
724,207,82,0.396,False,20,0
725,53,15,0.283,True,20,0
726,216,67,0.31,False,15,0
727,497,233,0.469,False,20,0
728,458,93,0.203,False,3,0
729,461,188,0.408,True,0,0
730,253,123,0.486,False,23,0
731,243,100,0.412,False,18,0
732,284,141,0.496,False,1,0
733,255,103,0.404,False,8,0
734,199,41,0.206,False,22,0
735,208,93,0.447,False,12,0
736,328,93,0.284,False,17,0
737,353,117,0.331,False,15,0
738,453,133,0.294,True,15,0
739,430,120,0.279,True,9,0
740,215,70,0.326,True,8,0
741,360,112,0.311,True,10,0
742,117,45,0.385,True,3,0
743,137,60,0.438,False,9,0
744,266,76,0.286,True,2,0
745,50,13,0.26,False,5,0
746,184,73,0.397,True,2,0
747,234,93,0.397,True,8,0
748,400,188,0.47,True,2,0
749,189,38,0.201,True,17,0
750,155,70,0.452,False,7,0
751,182,64,0.352,False,21,0
752,157,60,0.382,True,7,0
753,227,51,0.225,False,14,0
754,347,114,0.329,False,12,0
755,407,109,0.268,False,6,0
756,429,118,0.275,False,18,0
757,445,156,0.351,False,7,0
758,408,181,0.444,False,9,0
759,195,82,0.421,False,16,0
760,499,188,0.377,True,0,0
761,123,44,0.358,False,12,0
762,157,51,0.325,False,12,0
763,171,84,0.491,False,23,0
764,66,24,0.364,False,15,0
765,245,67,0.273,False,8,0
766,376,101,0.269,True,9,0
767,367,140,0.381,False,5,0
768,346,123,0.355,False,4,0
769,301,60,0.199,False,1,0
770,168,75,0.446,False,10,0
771,211,86,0.408,False,8,0
772,247,98,0.397,True,5,0
773,94,20,0.213,False,7,0
774,363,112,0.309,False,8,0
775,228,109,0.478,False,8,0
776,431,197,0.457,True,7,0
777,467,133,0.285,False,11,0
778,93,22,0.237,False,7,0
779,320,107,0.334,False,2,0
780,127,38,0.299,False,12,0
781,375,151,0.403,False,18,0
782,227,111,0.489,True,1,0
783,406,125,0.308,True,16,0
784,465,101,0.217,False,15,0
785,52,24,0.462,False,3,0
786,263,55,0.209,True,17,0
787,391,189,0.483,True,13,0
788,123,49,0.398,True,1,0
789,100,48,0.48,False,12,0
790,116,30,0.259,True,20,0
791,381,80,0.21,False,19,0
792,142,49,0.345,False,16,0
793,225,75,0.333,True,14,0
794,194,58,0.299,False,19,0
795,56,27,0.482,True,4,0
796,318,142,0.447,False,6,0
797,425,169,0.398,True,17,0
798,371,92,0.248,False,23,0
799,53,22,0.415,False,10,0
800,187,78,0.417,True,17,0
801,280,91,0.325,True,4,0
802,137,65,0.474,False,12,0
803,66,16,0.242,True,17,0
804,101,28,0.277,False,1,0
805,183,40,0.219,False,19,0
806,260,114,0.438,False,3,0
807,374,144,0.385,False,12,0
808,442,130,0.294,False,23,0
809,268,66,0.246,False,15,0
810,254,53,0.209,False,5,0
811,260,211,0.812,False,7,1
812,326,109,0.334,True,15,0
813,73,20,0.274,False,12,0
814,53,14,0.264,False,22,0
815,201,92,0.458,False,3,0
816,492,174,0.354,True,1,0
817,308,128,0.416,False,8,0
818,373,78,0.209,True,17,0
819,406,125,0.308,True,16,0
820,217,74,0.341,False,7,0
821,225,57,0.253,True,14,0
822,359,84,0.234,False,8,0
823,340,156,0.459,True,16,0
824,105,50,0.476,False,22,0
825,157,35,0.223,False,1,0
826,345,105,0.304,True,5,0
827,373,181,0.485,True,4,0
828,351,78,0.222,False,16,0
829,383,150,0.392,False,1,0
830,190,93,0.489,False,17,0
831,204,100,0.49,True,9,0
832,311,106,0.341,False,9,0
833,322,80,0.248,False,5,0
834,469,122,0.26,False,11,0
835,281,131,0.466,False,16,0
836,290,137,0.472,True,12,0
837,404,154,0.381,True,19,0
838,386,165,0.427,False,15,0
839,307,129,0.42,False,9,0
840,298,118,0.396,True,20,0
841,126,56,0.444,False,1,0
842,229,92,0.402,True,1,0
843,115,41,0.357,True,22,0
844,357,300,0.84,False,6,1
845,397,167,0.421,True,5,0
846,220,75,0.341,False,0,0
847,71,20,0.282,False,11,0
848,416,329,0.791,False,12,1
849,156,63,0.404,True,11,0
850,488,234,0.48,False,18,0
851,372,92,0.247,True,8,0
852,276,108,0.391,False,9,0
853,493,134,0.272,True,16,0
854,491,231,0.47,False,17,0
855,445,102,0.229,True,7,0
856,265,105,0.396,True,6,0
857,118,51,0.432,True,8,0
858,133,40,0.301,True,9,0
859,152,73,0.48,False,11,0
860,88,40,0.455,False,14,0
861,62,17,0.274,True,14,0
862,346,69,0.199,True,3,0
863,362,104,0.287,False,3,0
864,230,65,0.283,False,22,0
865,317,148,0.467,False,0,0
866,62,30,0.484,False,11,0
867,169,37,0.219,False,1,0
868,402,137,0.341,False,14,0
